12/08/2010;Kernite Mining Crystal II;2;250001,01
12/08/2010;Republic Fleet Fusion S;56;353,14
12/08/2010;Republic Fleet Fusion S;453;620,09
12/08/2010;Republic Fleet Fusion S;49491;620,09
12/08/2010;Mercury;5596;2700,03
12/08/2010;Mercury;59404;2700,03
12/08/2010;Republic Fleet EMP M;50000;910,71
12/08/2010;Large Cargohold Optimization I;3;17804065,01
12/08/2010;Large Cargohold Optimization I;2;17804065,01
12/08/2010;Large Cargohold Optimization I;5;17804065,01
12/08/2010;Buzzard;2;13084100,87
12/08/2010;Caldari Navy Antimatter Charge S;84366;495,18
13/08/2010;Arkonor Mining Crystal II;20;835000
13/08/2010;Sisters Core Scanner Probe;2;598072,01
13/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
13/08/2010;Republic Fleet EMP L;11452;1111,01
13/08/2010;Gallente Industrial;1;330999,99
13/08/2010;Kernite Mining Crystal II;6;250001,01
13/08/2010;Kernite Mining Crystal II;7;250001,01
13/08/2010;Kernite Mining Crystal II;2;250001,01
13/08/2010;Republic Fleet Fusion S;56;353,14
13/08/2010;Republic Fleet Fusion S;453;620,09
13/08/2010;Republic Fleet Fusion S;49491;620,09
13/08/2010;Mercury;5596;2700,03
13/08/2010;Mercury;59404;2700,03
13/08/2010;Republic Fleet EMP M;50000;910,71
13/08/2010;Large Cargohold Optimization I;3;17804065,01
13/08/2010;Large Cargohold Optimization I;2;17804065,01
13/08/2010;Large Cargohold Optimization I;5;17804065,01
13/08/2010;Buzzard;2;13084100,87
13/08/2010;Caldari Navy Antimatter Charge S;84366;495,18
14/08/2010;Sisters Core Scanner Probe;2;601007,27
14/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
14/08/2010;Republic Fleet EMP L;6452;1111,01
14/08/2010;Gallente Industrial;1;330999,99
14/08/2010;Republic Fleet Fusion S;27500;620,09
14/08/2010;Mercury;40600;2700,03
14/08/2010;Republic Fleet EMP M;22920;910,71
14/08/2010;Ocular Filter - Standard;18;20604200,01
14/08/2010;Cynosural Field Generator I;8;1208001,09
14/08/2010;Neodymium;10000;17702,15
14/08/2010;Sisters Combat Scanner Probe;5;581018,31
15/08/2010;Sisters Core Scanner Probe;2;601007,27
15/08/2010;Sisters Core Scanner Probe;52;601008,03
15/08/2010;Sisters Core Scanner Probe;148;601008,03
15/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
15/08/2010;Republic Fleet EMP L;6452;1111,01
15/08/2010;Gallente Industrial;1;330999,99
15/08/2010;Republic Fleet EMP M;22920;910,71
15/08/2010;Ocular Filter - Standard;4;20604200,01
15/08/2010;Buzzard;1;12141000,69
15/08/2010;Manticore;5;13901000,7
15/08/2010;Heavy Armor Maintenance Bot II;50;1000001,63
16/08/2010;Sisters Core Scanner Probe;2;601007,27
16/08/2010;Sisters Core Scanner Probe;52;601008,03
16/08/2010;Sisters Core Scanner Probe;148;601008,03
16/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
16/08/2010;Republic Fleet EMP L;6452;1111,01
16/08/2010;Gallente Industrial;1;330999,99
16/08/2010;Republic Fleet EMP M;22920;910,71
16/08/2010;Ocular Filter - Standard;4;20604200,01
16/08/2010;Buzzard;1;12141000,69
16/08/2010;Manticore;5;13901000,7
16/08/2010;Heavy Armor Maintenance Bot II;50;1000001,63
16/08/2010;Caldari Navy Antimatter Charge S;100000;500,18
17/08/2010;Sisters Core Scanner Probe;2;601007,27
17/08/2010;Sisters Core Scanner Probe;52;601008,03
17/08/2010;Sisters Core Scanner Probe;148;601008,03
17/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
